2023-11-12 23:54:11.785 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-12 23:54:11.791 INFO  [restartedMain] [com.tshop.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-29ENCKI with PID 76424 (D:\personal_project05\pro05\build\classes\java\main started by shin-jh in D:\personal_project05\pro05)
2023-11-12 23:54:11.792 INFO  [restartedMain] [com.tshop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-12 23:54:12.163 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 23:54:12.163 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 23:54:14.018 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-12 23:54:14.031 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-12 23:54:14.033 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-12 23:54:14.033 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-12 23:54:14.207 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:54:14.207 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2043 ms
2023-11-12 23:54:14.894 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7c3b4ff, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f1c7d32, org.springframework.security.web.context.SecurityContextPersistenceFilter@3ef54c1b, org.springframework.security.web.header.HeaderWriterFilter@29f08673, org.springframework.security.web.authentication.logout.LogoutFilter@15d51fd9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@42d6e7ce, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@49db9260, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75c48600, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@35695df1, org.springframework.security.web.session.SessionManagementFilter@724c4446, org.springframework.security.web.access.ExceptionTranslationFilter@7551aa9c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6e75fe20]
2023-11-12 23:54:15.162 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-12 23:54:15.489 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-12 23:54:15.512 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-12 23:54:15.549 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-12 23:54:15.565 INFO  [restartedMain] [com.tshop.Pro05Application] - Started Pro05Application in 4.262 seconds (JVM running for 7.672)
2023-11-12 23:55:14.657 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-12 23:55:14.657 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-12 23:55:14.659 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-12 23:56:39.442 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-12 23:56:39.445 INFO  [restartedMain] [com.tshop.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-29ENCKI with PID 80564 (D:\personal_project05\pro05\build\classes\java\main started by shin-jh in D:\personal_project05\pro05)
2023-11-12 23:56:39.447 INFO  [restartedMain] [com.tshop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-12 23:56:39.881 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
